"General","장군"
"Wall","벽"
"Floor","바닥"
"Ramp","경사로"
"Stairs","계단"
"Bridge","다리"
"Paved road","포장 도로"
"Dirt road","흙길"
"Fortification","요새화"
"Wall grate","벽 창살"
"Floor grate","바닥 창살"
"Vertical bars","수직 창살"
"Floor bars","바닥 창살"
"Glass window","유리창"
"Gem window","보석 창"
"Support","지지대"
"Track","트랙"
"Track stop","트랙 정지"
"Lever","레버"
"Well","우물"
"Floodgate","수문"
"Screw pump","스크류 펌프"
"Water wheel","물레방아"
"Windmill","풍차"
"Gear assembly","동력전달 기어"
"Horizontal axle","수평축"
"Vertical axle","수직축"
"Millstone","맷돌"
"Rollers","롤러"
"Rope/chain","밧줄/사슬"
"Cage","새장"
"Animal trap","동물 함정"
"Pressure plate","압력판"
"Stone-fall","낙석"
"Weapon","무기"
"Upright weapon/spike","수직 무기/스파이크"
"Archery target","궁술 표적"
"Weapon rack","무기 거치대"
"Armor stand","갑옷 거치대"
"Ballista","발리스타"
"Catapult","투석기"
"Disconnected","연결 끊김"
"Need trigger type","트리거 유형 필요"
"Needs walkable perimeter","걸을 수 있는 경계 필요"
"Hidden, cannot build at this location","숨겨짐, 이 위치에 건설할 수 없음"
"Needs to be anchored on edge","가장자리에 고정해야 함"
"Blocked at this location","이 위치에서 차단됨"
"Surrounded by empty space","빈 공간에 둘러싸여 있다"
"Needs adjacent wall","벽에 인접해야 한다"
"Needs open space","열린 공간 필요"
"Off map","지도 바깥"
"Water at this location","이 위치에서 물"
"Lava/Magma at this location","이 위치의 용암/마그마"
"Building present","건물이 존재함"
"Must remove construction","공사를 철거해야 함"
"Must be inside","안에 있어야합니다"
"Too close to edge","가장자리에 너무 가깝습니다."
"Must be outside","외부에 있어야 함"
"Cannot build at highest level","건설 가능한 높이를 초과함"
"Need soil or mud at location","위치에 흙이나 진흙이 필요합니다."
"Need soil at location","위치에 토양이 필요합니다"
"Needs ground or near machine","접지 또는 기계 근처 필요"
"No mud/soil for farm","농사지을 진흙/흙이 없음"
"Mud is left by water","진흙은 물에 의해 남겨진다"
"Automated vein and gem mining blueprint","자동화된 광맥 및 보석 채굴 청사진"
"Vein and gem mining blueprint","광맥 및 보석 채굴 청사진"
"Gem mining blueprint","보석 채굴 청사진"
"Regular mining blueprint","일반 마이닝 청사진"
"Automated vein and gem mining","자동화된 광맥 및 보석 채굴"
"Vein and gem mining","광맥 및 보석 채굴"
"Gem mining","보석 채굴"
"Regular mining","일반 채굴"
"Removing stairs/ramp/constructions","계단/경사로/건축물 제거"
"Stair mining blueprint","계단 채굴 청사진"
"Stair mining","계단 채굴"
"Ramp mining blueprint","램프 마이닝 청사진"
"Ramp mining","램프 마이닝"
"Channel mining blueprint","채널 마이닝 청사진"
"Channel mining","채널 마이닝"
"Converting mining blueprint to regular","마이닝 청사진을 일반 청사진으로 변환"
"Converting mining to blueprint","마이닝을 청사진으로 변환"
"Must span multiple elevations","여러 고도에 걸쳐 있어야 합니다."
"Converting to chopping blueprint","자르기 청사진으로 변환"
"Converting chopping blueprint to regular","자르기 청사진을 일반으로 변환"
"Chopping trees blueprint","나무 자르기 청사진"
"Chopping trees","나무 베기"
"Converting to gathering blueprint","수집 청사진으로 전환"
"Converting gathering blueprint to regular","채집 청사진을 일반으로 전환"
"Gathering fruit and leaves blueprint","과일 및 잎 청사진 수집"
"Gathering fruit and leaves","열매 및 잎 모으기"
"Smoothing blueprint","스무딩 청사진"
"Smoothing rough floors and walls","거친 바닥 및 벽 다듬기"
"Engraving blueprint","각인 청사진"
"Engraving smoothed floors and walls","매끄러운 바닥과 벽 조각"
"Track carving blueprint","트랙 조각 청사진"
"Carving tracks in floor","바닥에 트랙 조각"
"Fortification carving blueprint","요새 조각 청사진"
"Carving fortifications through walls","벽을 통해 조각 요새"
"Converting smoothing blueprint to regular","스무딩 청사진을 일반 청사진으로 변환"
"Converting to smoothing blueprint","스무딩 청사진으로 변환"
"Claiming forbidden items and buildings","금지된 아이템 및 건물에 대한 소유권 주장"
"Forbidding items and buildings","항목 및 건물 금지"
"Designating items for melting","녹이는 항목 지정"
"Removing melting designations","용융 지정 제거"
"Designating items for dumping","투기 품목 지정"
"Removing dumping designations","덤핑 지정 제거"
"Hiding items from view","보기에서 항목 숨기기"
"Revealing hidden items","숨겨진 아이템 공개"
"Designating restricted traffic area","통행제한구역 지정"
"Designating low traffic area","통행량이 적은 지역 지정"
"Removing traffic designations","트래픽 지정 제거"
"Designating high traffic area","교통량이 많은 지역 지정"
"Removing mining/chopping/gathering/smoothing orders","채굴/벌목/채집/벽 다듬기 명령 제거"
"Horizontal axles can vary in length.","수평 축은 길이가 다를 수 있습니다."
"Set the orientation below.","아래에서 방향을 설정합니다."
"Water wheels are 1x3 or 3x1.","수차는 1x3 또는 3x1입니다."
"The long side should align","긴 쪽이 정렬되어야 합니다."
"with the water's flow.","물의 흐름으로."
"Set the liquid flow direction below.","아래에서 액체 흐름 방향을 설정합니다."
"Water flows from the adjacent input tile","인접한 입력 타일에서 물이 흐릅니다."
"and from the tile below the input tile.","그리고 입력 타일 아래의 타일에서."
"Minecart rollers can vary in length.","Minecart 롤러는 길이가 다를 수 있습니다."
"Set the orientation and speed below.","아래에서 방향과 속도를 설정합니다."
"Resets","재설정"
"One use only","한 번만 사용"
"Water","물"
"Depth","깊이"
"Tropical Freshwater Marsh","열대 민물 습지"
"Water does not trigger","물이 발동하지 않음"
"Magma","마그마"
"Magma does not trigger","마그마가 발동하지 않음"
"Cart","카트"
"Weight","무게"
"to","에게"
"Any","어느"
"Minecarts do not trigger","광산 수레는 발동하지 않습니다"
"Creature trigger settings","생물 트리거 설정"
"Citizens trigger","시민 방아쇠"
"Citizens do not trigger","시민은 발동하지 않는다"
"Creatures do not trigger","생물은 발동하지 않습니다"
"Set the friction and auto-dump direction.","마찰 및 자동 덤프 방향을 설정합니다."
"Auto-dumping is not required.","자동 덤핑이 필요하지 않습니다."
"Set the draw direction below.","아래에서 그리는 방향을 설정합니다."
"Then select the corners of the bridge.","그 후 다리의 모서리를 선택한다."
"Click a tile to place the ","배치할 타일을 클릭합니다. "
"Click a tile to be one end of the ","타일의 한쪽 끝이 될 타일을 클릭합니다. "
"Click a tile to be a corner of the ","모서리가 될 타일을 클릭합니다. "
"(spans ","(스팬 "
" levels)"," 수준)"
"Select material after placement","배치 후 재료 선택"
"Use closest material","가장 가까운 재료 사용"
"Keep building after placement","배치 후 계속 구축"
"Bars and","주괴와"
"Blocks","벽돌"
"Finished","완성된"
"Goods","상품"
"Sheets","시트"
"Custom","관습"
"Click an icon to set stockpile type.","비축 유형을 설정하려면 아이콘을 클릭하십시오."
"Warning: stockpile has no type.","경고: 저장구역에는 비축해야할 유형이 없습니다."
"Click an existing stockpile to select it.","기존 저장구역 클릭하여 선택합니다."
"Click in the play area","선택 영역을 지정"
"to paint the stockpile.","저장구역을 배치하기 위해"
"Accept","수락"
"Overlapping","겹침"
"Water Source","수원지"
"Gather Fruit","열매를 따다"
"Garbage Dump","쓰레기장"
"Pen/Pasture","펜/목장"
"Pit/Pond","구덩이/연못"
"Meeting Area","만남의 광장"
"Animal Training","동물 훈련"
"Dining Hall","식당"
"Archery Range","궁술 연습장"
"Click an existing zone to select it.","기존 영역을 클릭하여 선택합니다."
"Select a type below to add a zone.","영역을 추가하려면 아래에서 유형을 선택하세요."
"Click an icon to add a new zone.","아이콘을 클릭하여 새 영역을 추가합니다."
"Select a rectangle","직사각형 선택"
"which contains ","포함하는 "
"coffins","관"
"chairs","의자"
"beds","침대"
"tables","테이블"
"in order to form","형성하기 위해"
"tombs.","무덤."
"throne rooms/studies.","알현실/연구실."
"bedrooms.","침실."
"dining halls.","식당."
"Rooms with multiple beds","침대가 여러 개인 방"
"will be made into","로 만들 것이다"
"dormitories.","기숙사."
"Multi","다중"
"Paint","페인트"
"Select another rectangle","다른 직사각형 선택"
"to continue.","계속하다."
"tomb","무덤"
"office","사무실"
"bedroom","침실"
"dining hall","식당"
" created."," 만들어진."
"dormitor","기숙사"
"ies","이야"
"coffin","관"
"chair","의자"
"bed","침대"
"table","테이블"
" rejected (already in use.)"," 거부됨(이미 사용 중입니다.)"
" rejected (not enclosed.)"," 거부됨(동봉되지 않음)"
"to paint the zone.","영역을 칠합니다."
"Hot","고온"
"Cold","추움"
"Add new burrow","대피소 추가"
"Nobody assigned","할당된 사람 없음"
"to paint the burrow.","굴을 칠하기 위해."
"Click a tile to position the stop.","정류장을 배치하려면 타일을 클릭하십시오."
"Building track stops is recommended!","트랙 정류장을 건설하는 것이 좋습니다!"
"Add new route","새 경로 추가"
"Stop ","중지 "
"the establishment of a temple for ","위한 성전 건립 "
"Pop","인구"
"Drink","술"
"Other","기타"
"Elevation ","높이 "
"Early ","일찍 "
"Mid-","한"
"Late ","늦은 "
"Year ","년도 "
"hunting.","수렵."
"sparring.","스파링."
"fighting!","화이팅!"
"Created Wealth:","생산한 부:"
"Weapons:","무기:"
"Armor and Garb:","갑옷과 의복:"
"Furniture:","가구:"
"Other Objects:","기타 개체:"
"Architecture:","건축물:"
"Displayed:","전시품:"
"Held/Worn:","무장/장비품:"
"Imported Wealth:","수입한 부:"
"Exported Wealth:","수출한 부:"
"You need a broker with","현재 상태를 보려면 가치평가 스킬이 있는"
"the appraisal skill."," 중개인이 필요합니다."
"A bookkeeper helps","회계사가 도와줍니다"
"with accuracy.","정확하게."
"Trade Information:","거래 정보:"
"Left click for recenter and expand options.  Right click to dismiss.","중앙 정렬 및 확장 옵션을 보려면 왼쪽 클릭하십시오. "
"Following ","수행원 "
"Set digging orders.","채굴 명령 설정."
"Finish setting dig orders.","채굴 명령 설정 끝내기."
"Dig a regular hallway or room.  Assign a miner to the work detail if necessary.  The miner requires a pick.","일반 복도나 방을 파세요. 필요한 경우 작업 세부사항에 광부를 할당합니다. 광부는 골라야 한다."
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","제거할 건설된 벽, 바닥 및 기타 건설된 타일을 지정합니다. 이것은 또한 모든 계단통과 경사로를 지정합니다."
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","현재 높이에서 위아래로 계단통을 팝니다. 선택 범위는 여러 고도에 걸쳐 있어야 합니다. 타일을 클릭하고 고도를 변경한 후 다시 클릭합니다."
"Dig a ramp on this level, going up.","현재 높이에서 올라가는 경사로를 팝니다."
"Dig a channel, making a ramp on the level below.","현재 높이에서 내려가는 경사로를 팝니다."
"Hold left button to draw.","왼쪽 버튼을 누르고 있으면 그립니다."
"Left click to choose corners of a rectangle.","직사각형의 모서리를 선택하려면 마우스 왼쪽 버튼을 클릭합니다."
"Dig every tile selected.","선택한 모든 타일을 파십시오."
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","선택한 광석과 보석만 파내고 발견된 동일한 유형의 광석과 보석을 자동화합니다."
"Dig only ore and gems selected.","선택한 광석과 보석만 캐십시오."
"Dig only gems selected.","선택한 보석만 채굴합니다."
"Selected tiles are very high priority.","선택한 타일의 우선 순위가 매우 높습니다."
"Selected tiles are high priority.","선택한 타일의 우선 순위가 높습니다."
"Selected tiles are high-medium priority.","선택한 타일은 높음-중간 우선 순위입니다."
"Selected tiles are medium priority. [DEFAULT]","선택한 타일은 중간 우선 순위입니다. [DEFAULT]"
"Selected tiles are medium-low priority.","선택한 타일의 우선 순위는 중간에서 낮습니다."
"Selected tiles are low priority.","선택한 타일은 우선 순위가 낮습니다."
"Selected tiles are very low priority.","선택된 타일은 우선순위가 매우 낮습니다."
"Change to standard dig mode.","표준 발굴 모드로 변경합니다."
"Change to blueprint-only mode.","청사진 전용 모드로 변경합니다."
"Change blueprints to standard selections.","청사진을 표준 선택으로 변경합니다."
"Change standard selections to blueprints.","표준 선택을 청사진으로 변경합니다."
"Show advanced options.","고급 옵션을 표시합니다."
"Hide advanced options.","고급 옵션을 숨깁니다."
"Set tree chopping orders.","벌목 명령 설정."
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","벌목 명령을 설정합니다. 나무꾼이 닿을 수 있도록 나무 밑을 선택합니다. 필요한 경우 작업 세부사항에 나무꾼을 지정합니다. 나무꾼은 도끼를 필요로 합니다."
"Finish setting tree chopping orders.","벌목 명령 설정 끝내기."
"Change to standard chop mode.","표준 자르기 모드로 변경합니다."
"Set plant gathering orders.","식물 채집 명령 설정."
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","식물 채집 순서를 설정합니다. 어떤 식물들은 과일이나 다른 식물들이 있어야 한다."
"Finish setting plant gathering orders.","식물 채집 명령 설정 끝내기."
"Change to standard gather mode.","표준 수집 모드로 변경합니다."
"Set wall smoothing, engraving, track carving, and fortification orders.","벽 다듬기, 조각, 선로 만들기 및 방어 시설 구축 명령 설정."
"Smooth a rough wall to make it more pleasing to your citizens.  This also prepares the wall for engraving or fortification.","거친 벽을 매만져서 시민들을 더욱 즐겁게 합니다. 또한 벽을 조각하거나 요새화를 위한 준비이기도 합니다."
"Engrave artwork into a smooth wall.","매끄러운 벽에 작품을 조각합니다."
"Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.","돌바닥에 선로를 파세요. 트랙은 운반 메뉴에서 경로가 설정된 마인 카트에서 사용됩니다."
"Carve a gap in a smooth wall to allow your archers to fire upon invaders.","궁수들이 침입자를 향해 사격할 수 있도록 매끄러운 벽에 틈을 파십시오."
"Finish setting wall orders.","벽 설정 끝내기."
"Change to standard orders mode.","표준 주문 모드로 변경합니다."
"Designate items for dumping and melting, claim forbidden items and buildings, and set item visibility.","버리기 및 용해 품목 지정, 금지 품목 및 건물 클레임, 품목 가시성 설정."
"Finish setting item/building designations.","항목/건물 지정 설정을 마칩니다."
"Claim a forbidden item or building so it will be used by your citizens.","시민들이 사용할 수 있도록 금지된 물품이나 건물을 설정하십시오."
"Forbid your citizens from using an item or building.","시민들이 아이템이나 건물을 사용하는 것을 금지하십시오."
"Designate an item for dumping in a dumping zone.","투기구역에 투기할 품목을 지정합니다."
"Remove dumping designations.","덤핑 지정을 제거하십시오."
"Designate an item for melting at any smelter.","제련소에서 녹일 항목을 지정하십시오."
"Remove melting designations.","녹는 지정을 제거하십시오."
"Remove hidden designations.","숨겨진 지정을 제거합니다."
"Hide an item or building from your view.  Citizens will still use it.","보기에서 항목이나 건물을 숨깁니다. "
"Set high and low traffic areas.","트래픽이 많은 영역과 낮은 영역을 설정합니다."
"Finish setting traffic areas.","교통 구역 설정을 마칩니다."
"Set a high traffic area.  Use this in wide central passages.","교통량이 많은 지역을 설정하십시오. "
"Set a normal traffic area, the default state.","기본 상태인 일반 교통 영역을 설정합니다."
"Set a low traffic area.  Citizens will look for better routes.","교통량이 적은 지역을 설정하십시오. "
"Set a restricted traffic area.  Citizens will look hard for better routes.  They will still use the area if other routes do not exist or are too long.","제한된 트래픽 영역을 설정합니다. 시민들은 더 나은 경로를 찾기 위해 열심히 찾을 것이다. 그들은 다른 노선이 존재하지 않거나 너무 길면 그 지역을 계속 이용할 것이다."
"Set the exact weight in steps of a traffic type.","트래픽 유형의 단계별로 정확한 가중치를 설정합니다."
"Remove mining, woodcutting, plant gathering, and smoothing orders.","채굴, 벌목, 식물 채집 및 벽 다듬기 명령 제거."
"Finish removing mining etc. orders.","채굴 및 기타 제거 명령 끝내기."
"Place structures and work areas that require construction materials.","건축 자재가 필요한 구조물과 작업 영역을 배치합니다."
"Finish placing structures.","구조물 배치를 마칩니다."
"Place stockpiles for item storage.","물건 보관을 위한 저장구역을 배치합니다."
"Finish placing stockpiles.","저장구역 배치를 마칩니다."
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","새 저장구역을 배치하기 시작하세요. 타일을 선택하면 세부 정보를 설정할 수 있습니다."
"Remove the stockpile being painted permanently.  Also removes existing zones!","배치 중인 저장구역을 영구히 제거합니다. 기존 영역도 제거합니다!"
"Repaint this stockpile.","이 저장구역을 다시 배치하십시오."
"Erase a portion of this stockpile.","이 저장구역 영역의 일부를 지웁니다."
"Remove this stockpile permanently.","이 저장구역을 영구적으로 제거하십시오."
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","저장구역이 모든곳에서 또는 특정 작업장과 특정 저장구역들에서만 품목을 가져갈 수 있는지의 여부를 전환합니다."
"Set from which workshops and stockpiles this stockpile gives and takes items.","이 저장구역이 어떤 작업장과 다른 저장구역에서 물건을 주고 받을건지 설정합니다."
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","이 저장구역이 사용할 수 있는 통, 상자, 손수레의 수를 설정합니다."
"Place zones to establish meeting areas, pastures, and more.","구역을 배치하여 모임 장소, 목초지 등을 설정합니다."
"Finish placing zones.","영역 배치를 완료합니다."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","새 영역을 그리기 시작합니다. 타일을 선택하면 세부 정보를 설정할 수 있습니다."
"Go to the previous zone overlapping the tile you clicked.","클릭한 타일과 겹치는 이전 영역으로 이동합니다."
"Go to the next zone overlapping the tile you clicked.","클릭한 타일과 겹치는 다음 영역으로 이동합니다."
"Repaint this zone.","이 영역을 다시 칠하십시오."
"Erase a portion of this zone.","이 영역의 일부를 지웁니다."
"Suspend activities in this zone.  Does not remove the zone.","이 영역에서 활동을 일시 중지합니다. "
"Remove this zone permanently.","이 영역을 영구적으로 제거하십시오."
"Gather fruit in trees in and just above this zone.  Requires a stepladder.","이 구역의 나무에서 과일을 수확합니다. 사다리가 필요합니다."
"Gather fruit and vegetables from shrubs in this zone.","이 구역의 관목에서 과일과 채소를 채집하십시오."
"Gather fallen fruit in this zone.","이 구역에서 떨어진 과일을 모으십시오."
"Select animals to be placed in this pasture zone.  They will stay after being led here.","이 목초지 구역에 배치할 동물을 선택합니다. 동물은 여기로 인도된 후에 머무를 것입니다."
"Designate this zone as the top of a pit.  Citizens will not fill the pit below with water.","이 구역을 구덩이의 맨 위로 지정합니다. 시민들은 아래 구덩이에 물을 채우지 않을 것입니다."
"Designate this zone as the top of a pond.  Citizens will bring buckets of water if the pond below isn't filled.","이 구역을 연못의 맨 위로 지정합니다. 아래 연못이 채워지지 않았다면 시민들이 양동이에 물을 담아 올 것입니다."
"Select animals to be dropped into the pit or pond below this zone.  Animals will not feel obligated to stay if they can find a way out.","이 구역의 구덩이 또는 연못에 넣을 동물을 선택합니다. 동물은 탈출구를 찾을 수 있다면 탈출할 것입니다."
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","이 영역에 새 위치 또는 기존 위치를 할당합니다. 위치는 선술집, 사원, 도서관 또는 공예 길드 홀과 같이 더 큰 목적을 가진 구역과 방의 그룹입니다."
"Set details for the assigned location.","할당된 위치에 대한 세부 정보를 설정합니다."
"Select this option and any unassigned deceased citizens will be buried here automatically.","이 옵션을 선택하면 지정되지 않은 사망한 시민이 자동으로 이곳에 묻힙니다."
"Select this option and any unassigned deceased pets will be buried here automatically.","이 옵션을 선택하면 지정되지 않은 죽은 애완동물이 자동으로 이곳에 묻힙니다."
"Choose which squads will use this barracks.","이 병영을 사용할 분대를 선택하십시오."
"Remove the zone being painted permanently.  Also removes existing zones!","페인팅 중인 구역을 영구히 제거합니다. 기존 영역도 제거합니다!"
"Your citizens will drink at a water source zone or gather water using buckets for various tasks.  This is useful if you don't have a functioning well and you want to control exactly where the tasks take place.","시민들은 상수원 구역에서 물을 마시거나 다양한 작업을 위해 양동이를 사용하여 물을 모을 것입니다. 이 기능은 제대로 작동하지 않고 작업이 수행되는 위치를 정확하게 제어하려는 경우 유용합니다."
"Citizens assigned to the fishing work detail will fish in this zone if it exists.  Otherwise, they will fish everywhere.","어업 작업 세부사항에 지정된 시민들은 이 구역이 존재한다면 낚시를 할 것이다. 그렇지 않으면, 그들은 모든 곳에서 낚시를 할 것입니다."
"Plant gathering zones are used in locations where plants will be gathered frequently.  Use the gather designation otherwise.","식물채집구역은 식물이 자주 모일 장소에 사용된다. 그렇지 않으면 채집 지정을 사용합니다."
"Items designated for dumping will be tossed into open air spaces included in this zone.  If no open air tiles are included, they will dump the items on the floor.","덤핑 대상으로 지정된 물품은 이 구역에 포함된 야외 공간에 버려질 것이다. 만약 야외 타일이 포함되지 않는다면, 그들은 물건들을 바닥에 버릴 것이다."
"Certain livestock need to graze on grass.  Assign these animals to a pasture zone.  No fencing is needed.","어떤 가축들은 풀을 뜯어야 합니다. 이 동물들을 목초지에 지정하세요. 울타리는 필요 없습니다."
"Animals assigned to pit/pond zones are dumped in the pit, but will leave the zone afterward if possible.  If the pit is designated as a pond, your citizens will attempt to fill it with water using buckets.","구덩이/연못 구역에 지정된 동물은 구덩이에 버려지지만, 가능하면 구역을 떠날 것입니다. 만약 그 구덩이가 연못으로 지정된다면, 여러분의 시민들은 양동이를 사용하여 그 구덩이를 물로 채우려고 할 것입니다."
"Your citizens will fill sand bags at this zone if a sandy floor or sandy wall is included.  This task is initiated manually at the glass furnace.","모래 바닥이나 모래 벽이 포함된 경우 시민들은 이 구역에서 모래주머니를 채울 것입니다. 이 작업은 유리 용해로에서 수동으로 시작됩니다."
"Your citizens will collect clay at this zone if a clay floor or clay wall is included.  This task is initiated manually at the kiln.","당신의 시민은 클레이 바닥이나 클레이 벽이 포함되면 이 구역에서 클레이를 수집합니다. 이 작업은 가마에 수동으로 시작됩니다."
"This important zone is where your citizens will gather to socialize.  Crucially, the meeting area is where locations such as taverns, temples, hospitals, and the like are established.","이 중요한 지역은 시민들이 모여 친목을 도모하는 곳입니다. 결정적으로 만남의 장소는 선술집, 사찰, 병원 등이 자리 잡은 곳입니다."
"Your citizens will sleep in bedrooms.  It should include a bed!  Try to enclose it with walls and/or doors.  Do not overlap with other rooms.","당신의 시민들은 침실에서 잘 것입니다. 침대가 포함되어 있어야 합니다! 벽 또는 문으로 둘러싸도록 하십시오. 다른 방과 겹치지 마십시오."
"Your citizens will eat at this zone.  When not assigned to a particular citizen, citizens without their own dining hall will eat here.  Tables and adjacent chairs should be included.","당신의 시민들은 이 구역에서 먹을 것입니다. 특정 시민에게 배정되지 않을 때는 자신의 식당이 없는 시민들이 이곳에서 식사를 하게 됩니다. 테이블과 인접한 의자가 포함되어야 합니다."
"An office or study is required for certain official tasks, such as approving work orders and bookkeeping.  A chair or throne is required for these functions.","사무실은 업무지시서 승인이나 경리 작업과 같은 특정한 공식적인 업무에 필요합니다. 이러한 기능에는 의자나 왕좌가 필요합니다."
"Your archers can train in this zone if there is an archery target included.","목표물이 포함되어 있다면 당신의 궁수들은 이 구역에서 훈련할 수 있습니다."
"Squads should be assigned to a barracks.  The squad can be set to train, sleep, and store equipment there.","부대는 막사에 배치되어야 합니다. 부대는 그곳에서 훈련하고, 자고, 장비를 보관하도록 설정될 수 있습니다."
"Dormitories should include multiple beds and will not belong to a particular citizen.","기숙사는 여러 개의 침대를 포함해야 하며 특정 시민의 것이 아닙니다."
"Prisoners convicted in the Justice menu can be incarcerated at a chain or metal cage in the dungeon zone.","집행 메뉴에서 유죄 판결을 받은 죄수들은 던전 구역의 체인이나 금속 케이지에 수감될 수 있다."
"Deceased citizens and pets can be laid to rest in a tomb.  It should include a coffin, casket, or sarcophagus.","죽은 시민들과 애완동물들은 무덤에 안치될 수 있다. 그것은 관, 관 또는 석관을 포함해야 합니다."
"Establish burrows to organize work and living spaces in larger fortresses.","더 큰 요새에 작업 공간과 거주 공간을 구성하기 위해 굴을 만듭니다."
"Finish establishing burrows.","굴 만들기를 마칩니다."
"Remove the burrow being painted permanently.  Also removes existing burrows!","페인트칠 중인 굴을 영구히 제거합니다. 기존 굴도 제거합니다!"
"Repaint this burrow.","이 굴을 다시 칠하십시오."
"Erase a portion of this burrow.","이 굴의 일부를 지웁니다."
"Remove this burrow permanently.","이 구멍을 영구적으로 제거하십시오."
"Recenter on this burrow.","이 굴에 중심을 맞추십시오."
"Toggle whether workshops can source materials from outside the burrow.","작업장이 굴 외부에서 재료를 조달할 수 있는지 여부를 전환합니다."
"Suspend this burrow.  Assigned citizens will not respect burrow restrictions while a burrow is suspended, but all tasks within the burrow will still function.","이 굴을 매달아라. 할당된 시민들은 굴이 매달려 있는 동안 굴 제한을 존중하지 않을 것이지만, 굴 안의 모든 작업은 여전히 작동할 것이다."
"Set hauling routes for minecarts.","광산 수레의 운반 경로를 설정합니다."
"Finish setting hauling routes.","운반 경로 설정을 마칩니다."
"Add a stop to this route.  Minecarts will move between stops when conditions are satisfied.","이 경로에 정류장을 추가합니다. 조건이 충족되면 마인 카트가 정류장 사이를 이동합니다."
"Assign a minecart to this route.  Only one vehicle can operate on each route.","이 경로에 마인 카트를 할당합니다. 각 경로에서 한 대의 차량만 운행할 수 있습니다."
"Name this route.","이 경로의 이름을 지정하십시오."
"Remove this route.","이 경로를 제거하십시오."
"Set the items desired by the minecart at this stop.  Items must be in a linked stockpile.","이 정류장에서 광산수레에서 원하는 항목을 설정합니다. 물건은 연결된 저장구역에 있어야 합니다."
"Link a stockpile to this stop.  Citizens will haul items to and from the minecart as you specify.  Items for the minecart must be specified using the desired items button to the left.","저장구역을 이 정류장에 연결하세요. 정착민들은 당신이 지정한 곳으로 광산수레에서 혹은 광산수레로 물건을 운반할 것입니다. 광산수레의 항목은 왼쪽에 있는 원하는 항목 버튼을 사용하여 지정해야 합니다."
"Set conditions for the minecart to move on to the next stop.","광산 수레가 다음 정류장으로 이동할 조건을 설정합니다."
"Name this stop.","이 정류장의 이름을 지정하십시오."
"Remove this stop.","이 정류장을 제거하십시오."
"The assigned vehicle is at this stop.","지정된 차량이 이 정류장에 있습니다."
"The assigned vehicle is moving toward this stop.","할당된 차량이 이 정류장을 향해 이동하고 있습니다."
"The assigned vehicle wants to be at this stop but is not currently there.  A worker may be bringing it, or it may be stranded.","지정된 차량이 이 정류장에 있으려고 하지만 현재는 없습니다. 직원이 가져오거나, 오도가도 못하게 될 수도 있습니다."
"Open the citizen information menu.","정착민 정보 메뉴 열기."
"Open the task information menu.","작업 정보 메뉴를 엽니다."
"Open the place information menu.","장소 정보 메뉴 열기."
"Open the labor menu.","노동 메뉴 열기."
"Open the work orders menu.","작업지시서 메뉴 열기."
"Open the nobles and administrators menu.","귀족 및 관리자 메뉴 열기."
"Open the objects menu.","개체 메뉴 열기."
"Open the squad sidebar.","분대 사이드바를 엽니다."
"Open the world screen.","월드 화면을 엽니다."
"Open the justice menu.","사법 메뉴를 열기."
"Toggle whether the stockpile allows plant and animal-based objects, regardless of other settings.","다른 설정에 관계없이 저장구역이 식물 및 동물들의 비축을 허용하는지의 여부를 설정합니다."
"Toggle whether the stockpile allows non-plant-and-animal-based objects, regardless of other settings.","다른 설정에 관계없이 저장구역이 비동식물 그리고 비생명체 비축을 허용하는지의 여부를 설정합니다."
"Toggle whether goods banned by export mandates are listed.","수출 금지에 의해 금지된 상품이 나열되는지 여부를 전환합니다."
"Sort by distance from the depot.","창고에서 거리순으로 정렬합니다."
"Sort by value.","값별로 정렬합니다."
"Leave menu and recenter the view on the time.","메뉴를 종료하고 해당 시간에 보기를 중앙 정렬합니다."
"Leave menu and open the item's sheet.","메뉴를 종료하고 항목의 시트를 엽니다."
"Toggle the forbidden status of the item.  Citizens will not use forbidden items or buildings.","항목의 금지된 상태를 전환합니다. 시민들은 금지된 물품이나 건물을 사용하지 않을 것입니다."
"Toggle the dump status of the item.  Items are dumped in dumping zones.","항목의 덤프 상태를 전환합니다. 아이템들은 덤핑 존에 버려집니다."
"Toggle the melt status of the item.  Items are melted at any smelter.","항목의 용융 상태를 전환합니다. "
